Source,Target,Type,Weight
10,741,Directed,0.01832172957
10,742,Directed,0
10,743,Directed,0.03
10,744,Directed,0.06157635468
10,745,Directed,0
10,624,Directed,0.04021043461
10,746,Directed,0.01635590448
10,625,Directed,0.01790830946
10,747,Directed,0
10,626,Directed,0.082019736
10,627,Directed,0
10,628,Directed,0.04761904762
10,748,Directed,0
10,631,Directed,0.03790750569
10,749,Directed,0.05430847212
10,750,Directed,0
10,633,Directed,0.0273822563
10,682,Directed,0.01272264631
10,662,Directed,0.01486502557
10,751,Directed,0.03513703443
10,752,Directed,0.029455081
10,753,Directed,0.0306936771
10,636,Directed,0.01769911504
10,708,Directed,0.03276539974
10,638,Directed,0.02566076469
10,754,Directed,0.02571166208
10,755,Directed,0.0281164019
10,710,Directed,0.01969279244
10,639,Directed,0.01679261125
10,641,Directed,0.04048582996
10,642,Directed,0.02001143511
10,699,Directed,0.0350385424
10,643,Directed,0.008293593199
10,645,Directed,0.01544998069
10,646,Directed,0.0132837407
10,756,Directed,0.03207184092
10,647,Directed,0.04109589041
10,672,Directed,0.009902951079
10,687,Directed,0
11,701,Directed,0
11,614,Directed,0
11,694,Directed,0.0531462585
11,624,Directed,0
11,750,Directed,0.03414134517
11,633,Directed,0.03650967506
11,662,Directed,0.03567606136
11,709,Directed,0.08594757198
11,757,Directed,0.04912663755
11,641,Directed,0.04048582996
12,758,Directed,0.05681818182
12,620,Directed,0.01421935729
12,759,Directed,0.03350083752
12,755,Directed,0.01138044839
12,642,Directed,0.04410683656
12,711,Directed,0
13,760,Directed,0.03557452864
13,608,Directed,0.01330671989
13,614,Directed,0
13,734,Directed,0
13,679,Directed,0.04351610096
13,704,Directed,0.003355817309
13,737,Directed,0.01535626536
13,761,Directed,0.01395478649
13,621,Directed,0
13,746,Directed,0
13,625,Directed,0.01790830946
13,628,Directed,0.05952380952
13,748,Directed,0
13,630,Directed,0.04363001745
13,631,Directed,0
13,753,Directed,0.08594229589
13,759,Directed,0.01116694584
13,639,Directed,0
13,641,Directed,0
13,643,Directed,0.05079825835
13,644,Directed,0.0179662235
13,712,Directed,0
13,687,Directed,0.05070993915
14,762,Directed,0.09724473258
14,740,Directed,0.06607929515
14,717,Directed,0
14,763,Directed,0
14,670,Directed,0.01229558588
15,701,Directed,0
15,724,Directed,0.01259763165
15,731,Directed,0.05339028297
15,621,Directed,0
15,757,Directed,0
15,764,Directed,0
16,765,Directed,0.04253509145
16,701,Directed,0.05957345407
16,605,Directed,0.0427167877
16,724,Directed,0.03401360544
16,606,Directed,0
16,766,Directed,0.01724137931
16,607,Directed,0.0218968969
16,767,Directed,0.02083333333
16,768,Directed,0.02678571429
16,769,Directed,0.01965408805
16,770,Directed,0.02479543764
16,727,Directed,0.01522070015
16,771,Directed,0.01511487304
16,772,Directed,0.02805836139
16,773,Directed,0.04622750537
16,774,Directed,0.01234567901
16,775,Directed,0.02318034307
16,776,Directed,0.04487179487
16,731,Directed,0.04745802931
16,614,Directed,0.06982265047
16,777,Directed,0.03206751055
16,695,Directed,0.06507157874
